id,name,shortName
1,Análisis I (II C),
2,Álgebra I,
3,Algoritmos y Estructuras de Datos I ,Algoritmos I
4,Probabilidad y Estadística,
5,Algoritmos y Estructura de Datos II,Algoritmos II
6,Organización del Computador I ,
7,Métodos Numéricos,
8,Organización del Computador II,
9,Algoritmos y Estructura de Datos III,Algoritmos III
10,Sistemas Operativos,
11,Lógica y Computabilidad,
12,Teoría de las Comunicaciones / Redes,
13,Ingeniería de Software I,
14,Bases de Datos,
15,Teoría de Lenguajes,
16,Paradigmas de Programación,
17,Ingeniería de Software II,
18,1ra Materia Optativa,
19,2da Materia Optativa,
20,3ra Materia Optativa,
21,4ta Materia Optativa,
22,Tesis de Licenciatura,
23,Análisis II (Mate 3),
24,Algebra Lineal,
25,Taller de Cálculo Avanzado,
26,Cálculo Avanzado,
27,Elem. de Cálculo Numérico	,
28,Análisis Complejo,
29,Probabilidades y Estadística        ,
30,Análisis Real,
31,Algebra II,
32,Topología,
33,Geometría Proyectiva,
34,Análisis Funcional,
35,Geometría Diferencial,
36,Ecuaciones Diferenciales A,
37,Álgebra III,
38,1ra Materia Optativa,
39,2da Materia Optativa,
40,3ra Materia Optativa,
41,4ta Materia Optativa,
42,Tesis de Licenciatura,
43,Medida y Probabilidad,
44,Introd. a la Computación,
45,Estadística,
46,Investigación Operativa,
47,Temas de Física,
48,Optimización,
49,Ecuaciones Diferenciales B,
50,Análisis Numérico,
51,1ra Materia Optativa,
52,2da Materia Optativa,
53,3ra Materia Optativa,
54,4ta Materia Optativa,
55,Tesis de Licenciatura,
56,Matemática 1,
57,Física 1,
58,Matemática 2,
59,Laboratorio 1,
61,Física 2,
62,Física 3,
63,Laboratorio 2,
64,Física 4,
65,Laboratorio 3,
66,Cálculo Numérico,
67,Matemática 4,
68,Mecánica Clásica,
69,Laboratorio 4,
70,Física Teórica 1,
71,Física Teórica 2,
72,Laboratorio 5,
73,Física Teórica 3,
74,Estructura de la Materia 1,
75,Laboratorio 6,
76,Laboratorio 7,
77,Estructura de la Materia 2,
78,Estructura de la Materia 3,
79,Estructura de la Materia 4,
80,1ra Materia Optativa,
81,2da Materia Optativa,
82,3ra Materia Optativa,
83,4ta Materia Optativa,
84,Tesis de Licenciatura,
85,QuímicaGeneral e Inorgánica I,
86,QuímicaGeneral e Inorgánica II,
87,Química Analítica,
88,Química Orgánica I,
89,Física I,
90,Química Orgánica II,
91,Física II,
92,Química Biológica,
93,Química Física I,
94,Estadística,
95,Química Física II,
96,Microbiología General e Industrial,
97,Análisis Instrumental,
98,Química Industrial,
99,Complementosde QuímicaInorgánicay Analítica,
100,Bromatología,
101,Optativa I,
102,Análisis Funcional Orgánico,
103,Tóxicología y Química Legal,
104,Optativa II,